"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","5,970.55","5,915.00","5,978.90","5,892.30","139.36K","0.60%"
"02/19/2025","5,934.90","5,810.00","5,956.25","5,740.00","337.23K","1.63%"
"02/18/2025","5,839.70","5,950.00","5,978.90","5,793.00","283.56K","-1.42%"
"02/17/2025","5,923.75","5,832.00","5,940.00","5,760.25","207.67K","1.37%"
"02/14/2025","5,843.75","6,017.30","6,060.00","5,766.05","294.69K","-2.77%"
"02/13/2025","6,010.50","5,999.70","6,155.00","5,984.75","667.46K","0.68%"
"02/12/2025","5,969.85","5,946.75","6,000.00","5,805.00","292.10K","0.39%"
"02/11/2025","5,946.75","5,949.95","5,964.80","5,862.10","443.17K","0.13%"
"02/10/2025","5,938.80","6,142.00","6,179.00","5,921.65","284.79K","-3.29%"
"02/07/2025","6,140.55","6,116.55","6,161.50","6,080.50","153.03K","0.34%"
"02/06/2025","6,119.70","6,148.30","6,205.90","6,098.05","373.62K","-0.06%"
"02/05/2025","6,123.50","6,060.55","6,207.20","6,007.50","389.79K","0.45%"
"02/04/2025","6,096.25","6,049.95","6,230.00","5,972.70","1.31M","3.61%"
"02/03/2025","5,884.10","5,619.00","5,955.10","5,471.00","1.30M","4.73%"
"02/01/2025","5,618.55","5,589.00","5,653.85","5,510.00","108.31K","0.73%"
"01/31/2025","5,577.70","5,717.55","5,750.95","5,548.90","429.09K","-2.76%"
"01/30/2025","5,735.90","5,621.10","5,791.60","5,601.80","234.26K","2.06%"
"01/29/2025","5,620.15","5,374.10","5,648.00","5,361.50","241.52K","3.88%"
"01/28/2025","5,410.20","5,580.40","5,585.00","5,351.65","588.89K","-2.99%"
"01/27/2025","5,576.75","5,725.50","5,749.00","5,546.00","243.09K","-3.23%"
"01/24/2025","5,762.60","5,850.00","5,900.40","5,707.30","387.49K","-1.51%"
"01/23/2025","5,850.95","5,780.40","5,905.05","5,780.40","449.60K","0.66%"
"01/22/2025","5,812.50","5,838.55","5,846.90","5,755.00","513.87K","-0.11%"
"01/21/2025","5,818.90","6,011.70","6,068.05","5,806.30","437.88K","-3.03%"
"01/20/2025","6,000.60","5,917.00","6,028.00","5,840.05","309.74K","1.43%"
